date,timestamp,interest,query
2017-12-01,1512086400,18,oil prices
2018-01-01,1514764800,22,oil prices
2018-02-01,1517443200,19,oil prices
2018-03-01,1519862400,16,oil prices
2018-04-01,1522540800,18,oil prices
2018-05-01,1525132800,24,oil prices
2018-06-01,1527811200,17,oil prices
2018-07-01,1530403200,17,oil prices
2018-08-01,1533081600,15,oil prices
2018-09-01,1535760000,16,oil prices
2018-10-01,1538352000,19,oil prices
2018-11-01,1541030400,25,oil prices
2018-12-01,1543622400,26,oil prices
2019-01-01,1546300800,21,oil prices
2019-02-01,1548979200,15,oil prices
2019-03-01,1551398400,14,oil prices
2019-04-01,1554076800,15,oil prices
2019-05-01,1556668800,14,oil prices
2019-06-01,1559347200,17,oil prices
2019-07-01,1561939200,13,oil prices
2019-08-01,1564617600,14,oil prices
2019-09-01,1567296000,23,oil prices
2019-10-01,1569888000,14,oil prices
2019-11-01,1572566400,12,oil prices
2019-12-01,1575158400,12,oil prices
2020-01-01,1577836800,18,oil prices
2020-02-01,1580515200,17,oil prices
2020-03-01,1583020800,75,oil prices
2020-04-01,1585699200,100,oil prices
2020-05-01,1588291200,34,oil prices
2020-06-01,1590969600,25,oil prices
2020-07-01,1593561600,16,oil prices
2020-08-01,1596240000,13,oil prices
2020-09-01,1598918400,15,oil prices
2020-10-01,1601510400,13,oil prices
2020-11-01,1604188800,13,oil prices
2020-12-01,1606780800,13,oil prices
2021-01-01,1609459200,15,oil prices
2021-02-01,1612137600,17,oil prices
2021-03-01,1614556800,17,oil prices
2021-04-01,1617235200,11,oil prices
2021-05-01,1619827200,12,oil prices
2021-06-01,1622505600,12,oil prices
2021-07-01,1625097600,12,oil prices
2021-08-01,1627776000,12,oil prices
2021-09-01,1630454400,13,oil prices
2021-10-01,1633046400,19,oil prices
2021-11-01,1635724800,18,oil prices
2021-12-01,1638316800,15,oil prices
2022-01-01,1640995200,15,oil prices
2022-02-01,1643673600,26,oil prices
2022-03-01,1646092800,60,oil prices
2022-04-01,1648771200,23,oil prices
2022-05-01,1651363200,23,oil prices
2022-06-01,1654041600,29,oil prices
2022-07-01,1656633600,28,oil prices
2022-08-01,1659312000,26,oil prices
2022-09-01,1661990400,27,oil prices
2022-10-01,1664582400,25,oil prices
2022-11-01,1667260800,21,oil prices
2022-12-01,1669852800,21,oil prices
2023-01-01,1672531200,17,oil prices
2023-02-01,1675209600,17,oil prices
2023-03-01,1677628800,16,oil prices
2023-04-01,1680307200,15,oil prices
2023-05-01,1682899200,13,oil prices
2023-06-01,1685577600,12,oil prices
2023-07-01,1688169600,11,oil prices
2023-08-01,1690848000,13,oil prices
2023-09-01,1693526400,15,oil prices
2023-10-01,1696118400,17,oil prices
2023-11-01,1698796800,15,oil prices
2023-12-01,1701388800,14,oil prices
2024-01-01,1704067200,14,oil prices
2024-02-01,1706745600,11,oil prices
2024-03-01,1709251200,10,oil prices
2024-04-01,1711929600,11,oil prices
2024-05-01,1714521600,9,oil prices
2024-06-01,1717200000,9,oil prices
2024-07-01,1719792000,8,oil prices
2024-08-01,1722470400,11,oil prices
2024-09-01,1725148800,12,oil prices
2024-10-01,1727740800,13,oil prices
2024-11-01,1730419200,11,oil prices
2024-12-01,1733011200,10,oil prices
2025-01-01,1735689600,12,oil prices
2025-02-01,1738368000,11,oil prices
2025-03-01,1740787200,11,oil prices
2025-04-01,1743465600,17,oil prices
2025-05-01,1746057600,13,oil prices
2025-06-01,1748736000,25,oil prices
2025-07-01,1751328000,13,oil prices
2025-08-01,1754006400,26,oil prices
2025-09-01,1756684800,29,oil prices
2025-10-01,1759276800,11,oil prices
